Pais,Nombre_cliente,Datos_pedido,Estado,Producto,Categoria,Marca,Costo,Ventas,Cantidad,Costo_Totales,Ventas_totales,Ganancias,Ganancias_Totales
India,Adhir Samal,11/01/2020,Delivered,512 GB M.2,SSD,Samsung,6500.0,8450.0,1.0,6500.0,8450.0,1950.0,1950.0
E.E.U.U,Dannana Jhammi,11/01/2020,Delivered,RYZEN 3rd gen. 3500 ,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
Italia,Vipin Kumar,11/01/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,2100.0,4200.0
Alemania,Ranjeet Kumar,11/01/2020,Delivered,16 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,1965.0,5895.0
Brasil,Sajal Singhal,11/01/2020,Order,Standard ATX motherboard,MotherBoard,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,2295.0,9180.0
Japon,Akhilesh Kumar,11/01/2020,Order,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,345.0,690.0
China,Suvankar Chakraborty,11/01/2020,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,3.0,2550.0,3315.0,255.0,765.0
Colombia,Suvankar Adhikary,12/01/2020,Order,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,2.0,1300.0,1690.0,195.0,390.0
Brasil,Rahul Kumar Prajapati,13/01/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,2250.0,2250.0
Mexico,Sagar Jeur,14/01/2020,Order,2 TB HDD,HDD,Seagate,10000.0,13000.0,3.0,30000.0,39000.0,3000.0,9000.0
China,Rhushikesh Mane,15/01/2020,Order,1 TB SSD,SSD,Samsung,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
Mexico,Ashish Kumar,16/01/2020,Order,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Colombia,Javed Akhter,17/01/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,2100.0,4200.0
Japon,Haridas Balraj,18/01/2020,Processing,4 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,1.0,1680.0,2184.0,504.0,504.0
Reino Unido,Kundan Kumar,19/01/2020,Processing,Micro ATX motherboard,MotherBoard,MSI,6540.0,8502.0,2.0,13080.0,17004.0,1962.0,3924.0
Francia,Atif Siddiqui,20/01/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,804.0,804.0
Mexico,Aditya Agarwal,21/01/2020,Processing,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,2.0,16500.0,21450.0,2475.0,4950.0
Japon,Firdoush Jabee,22/01/2020,Processing,8 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,795.0,3180.0
Brasil,Jay Prakash Kumar,22/01/2020,Processing,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,2.0,25100.0,32630.0,3765.0,7530.0
Alemania,Ashish Pandey,22/01/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,2.0,29000.0,37700.0,4350.0,8700.0
Alemania,Ajay Sharma,22/01/2020,Processing,USB Keyboard,Keyboard,Dell,800.0,1040.0,1.0,800.0,1040.0,240.0,240.0
